"행정구역","2015년_거주자_총인구수","2015년_거주자_연령구간인구수","2015년_거주자_0~9세","2015년_거주자_10~19세","2015년_거주자_20~29세","2015년_거주자_30~39세","2015년_거주자_40~49세","2015년_거주자_50~59세","2015년_거주자_60~69세","2015년_거주자_70~79세","2015년_거주자_80~89세","2015년_거주자_90~99세","2015년_거주자_100세 이상","2015년_남_거주자_총인구수","2015년_남_거주자_연령구간인구수","2015년_남_거주자_0~9세","2015년_남_거주자_10~19세","2015년_남_거주자_20~29세","2015년_남_거주자_30~39세","2015년_남_거주자_40~49세","2015년_남_거주자_50~59세","2015년_남_거주자_60~69세","2015년_남_거주자_70~79세","2015년_남_거주자_80~89세","2015년_남_거주자_90~99세","2015년_남_거주자_100세 이상","2015년_여_거주자_총인구수","2015년_여_거주자_연령구간인구수","2015년_여_거주자_0~9세","2015년_여_거주자_10~19세","2015년_여_거주자_20~29세","2015년_여_거주자_30~39세","2015년_여_거주자_40~49세","2015년_여_거주자_50~59세","2015년_여_거주자_60~69세","2015년_여_거주자_70~79세","2015년_여_거주자_80~89세","2015년_여_거주자_90~99세","2015년_여_거주자_100세 이상","2016년_거주자_총인구수","2016년_거주자_연령구간인구수","2016년_거주자_0~9세","2016년_거주자_10~19세","2016년_거주자_20~29세","2016년_거주자_30~39세","2016년_거주자_40~49세","2016년_거주자_50~59세","2016년_거주자_60~69세","2016년_거주자_70~79세","2016년_거주자_80~89세","2016년_거주자_90~99세","2016년_거주자_100세 이상","2016년_남_거주자_총인구수","2016년_남_거주자_연령구간인구수","2016년_남_거주자_0~9세","2016년_남_거주자_10~19세","2016년_남_거주자_20~29세","2016년_남_거주자_30~39세","2016년_남_거주자_40~49세","2016년_남_거주자_50~59세","2016년_남_거주자_60~69세","2016년_남_거주자_70~79세","2016년_남_거주자_80~89세","2016년_남_거주자_90~99세","2016년_남_거주자_100세 이상","2016년_여_거주자_총인구수","2016년_여_거주자_연령구간인구수","2016년_여_거주자_0~9세","2016년_여_거주자_10~19세","2016년_여_거주자_20~29세","2016년_여_거주자_30~39세","2016년_여_거주자_40~49세","2016년_여_거주자_50~59세","2016년_여_거주자_60~69세","2016년_여_거주자_70~79세","2016년_여_거주자_80~89세","2016년_여_거주자_90~99세","2016년_여_거주자_100세 이상","2017년_거주자_총인구수","2017년_거주자_연령구간인구수","2017년_거주자_0~9세","2017년_거주자_10~19세","2017년_거주자_20~29세","2017년_거주자_30~39세","2017년_거주자_40~49세","2017년_거주자_50~59세","2017년_거주자_60~69세","2017년_거주자_70~79세","2017년_거주자_80~89세","2017년_거주자_90~99세","2017년_거주자_100세 이상","2017년_남_거주자_총인구수","2017년_남_거주자_연령구간인구수","2017년_남_거주자_0~9세","2017년_남_거주자_10~19세","2017년_남_거주자_20~29세","2017년_남_거주자_30~39세","2017년_남_거주자_40~49세","2017년_남_거주자_50~59세","2017년_남_거주자_60~69세","2017년_남_거주자_70~79세","2017년_남_거주자_80~89세","2017년_남_거주자_90~99세","2017년_남_거주자_100세 이상","2017년_여_거주자_총인구수","2017년_여_거주자_연령구간인구수","2017년_여_거주자_0~9세","2017년_여_거주자_10~19세","2017년_여_거주자_20~29세","2017년_여_거주자_30~39세","2017년_여_거주자_40~49세","2017년_여_거주자_50~59세","2017년_여_거주자_60~69세","2017년_여_거주자_70~79세","2017년_여_거주자_80~89세","2017년_여_거주자_90~99세","2017년_여_거주자_100세 이상","2018년_거주자_총인구수","2018년_거주자_연령구간인구수","2018년_거주자_0~9세","2018년_거주자_10~19세","2018년_거주자_20~29세","2018년_거주자_30~39세","2018년_거주자_40~49세","2018년_거주자_50~59세","2018년_거주자_60~69세","2018년_거주자_70~79세","2018년_거주자_80~89세","2018년_거주자_90~99세","2018년_거주자_100세 이상","2018년_남_거주자_총인구수","2018년_남_거주자_연령구간인구수","2018년_남_거주자_0~9세","2018년_남_거주자_10~19세","2018년_남_거주자_20~29세","2018년_남_거주자_30~39세","2018년_남_거주자_40~49세","2018년_남_거주자_50~59세","2018년_남_거주자_60~69세","2018년_남_거주자_70~79세","2018년_남_거주자_80~89세","2018년_남_거주자_90~99세","2018년_남_거주자_100세 이상","2018년_여_거주자_총인구수","2018년_여_거주자_연령구간인구수","2018년_여_거주자_0~9세","2018년_여_거주자_10~19세","2018년_여_거주자_20~29세","2018년_여_거주자_30~39세","2018년_여_거주자_40~49세","2018년_여_거주자_50~59세","2018년_여_거주자_60~69세","2018년_여_거주자_70~79세","2018년_여_거주자_80~89세","2018년_여_거주자_90~99세","2018년_여_거주자_100세 이상","2019년_거주자_총인구수","2019년_거주자_연령구간인구수","2019년_거주자_0~9세","2019년_거주자_10~19세","2019년_거주자_20~29세","2019년_거주자_30~39세","2019년_거주자_40~49세","2019년_거주자_50~59세","2019년_거주자_60~69세","2019년_거주자_70~79세","2019년_거주자_80~89세","2019년_거주자_90~99세","2019년_거주자_100세 이상","2019년_남_거주자_총인구수","2019년_남_거주자_연령구간인구수","2019년_남_거주자_0~9세","2019년_남_거주자_10~19세","2019년_남_거주자_20~29세","2019년_남_거주자_30~39세","2019년_남_거주자_40~49세","2019년_남_거주자_50~59세","2019년_남_거주자_60~69세","2019년_남_거주자_70~79세","2019년_남_거주자_80~89세","2019년_남_거주자_90~99세","2019년_남_거주자_100세 이상","2019년_여_거주자_총인구수","2019년_여_거주자_연령구간인구수","2019년_여_거주자_0~9세","2019년_여_거주자_10~19세","2019년_여_거주자_20~29세","2019년_여_거주자_30~39세","2019년_여_거주자_40~49세","2019년_여_거주자_50~59세","2019년_여_거주자_60~69세","2019년_여_거주자_70~79세","2019년_여_거주자_80~89세","2019년_여_거주자_90~99세","2019년_여_거주자_100세 이상","2020년_거주자_총인구수","2020년_거주자_연령구간인구수","2020년_거주자_0~9세","2020년_거주자_10~19세","2020년_거주자_20~29세","2020년_거주자_30~39세","2020년_거주자_40~49세","2020년_거주자_50~59세","2020년_거주자_60~69세","2020년_거주자_70~79세","2020년_거주자_80~89세","2020년_거주자_90~99세","2020년_거주자_100세 이상","2020년_남_거주자_총인구수","2020년_남_거주자_연령구간인구수","2020년_남_거주자_0~9세","2020년_남_거주자_10~19세","2020년_남_거주자_20~29세","2020년_남_거주자_30~39세","2020년_남_거주자_40~49세","2020년_남_거주자_50~59세","2020년_남_거주자_60~69세","2020년_남_거주자_70~79세","2020년_남_거주자_80~89세","2020년_남_거주자_90~99세","2020년_남_거주자_100세 이상","2020년_여_거주자_총인구수","2020년_여_거주자_연령구간인구수","2020년_여_거주자_0~9세","2020년_여_거주자_10~19세","2020년_여_거주자_20~29세","2020년_여_거주자_30~39세","2020년_여_거주자_40~49세","2020년_여_거주자_50~59세","2020년_여_거주자_60~69세","2020년_여_거주자_70~79세","2020년_여_거주자_80~89세","2020년_여_거주자_90~99세","2020년_여_거주자_100세 이상"
"경기도 부천시 (4119000000)","840,725","840,725","71,230","92,036","125,492","131,846","145,127","149,379","73,500","36,172","14,012","1,875","56","419,468","419,468","36,522","47,636","64,931","67,389","72,124","73,950","37,008","15,307","4,178","417","6","421,257","421,257","34,708","44,400","60,561","64,457","73,003","75,429","36,492","20,865","9,834","1,458","50","842,904","842,904","70,696","87,050","125,650","130,844","142,830","150,904","80,217","37,425","15,319","1,916","53","420,189","420,189","36,193","45,004","64,965","67,074","70,985","74,416","40,254","16,190","4,673","428","7","422,715","422,715","34,503","42,046","60,685","63,770","71,845","76,488","39,963","21,235","10,646","1,488","46","842,000","842,000","68,758","83,052","125,004","128,830","140,002","151,134","86,702","40,059","16,270","2,131","58","419,282","419,282","35,269","42,896","64,634","65,966","69,858","74,097","43,325","17,728","5,041","463","5","422,718","422,718","33,489","40,156","60,370","62,864","70,144","77,037","43,377","22,331","11,229","1,668","53","835,533","835,533","66,191","78,817","122,249","126,555","135,315","151,204","93,308","42,124","17,304","2,400","66","415,560","415,560","33,925","40,614","63,111","64,828","67,935","73,759","46,413","19,007","5,431","527","10","419,973","419,973","32,266","38,203","59,138","61,727","67,380","77,445","46,895","23,117","11,873","1,873","56","821,846","821,846","61,961","74,342","119,125","120,217","131,293","148,803","100,805","43,974","18,522","2,739","65","408,022","408,022","31,736","38,267","61,544","61,542","66,002","72,241","50,008","20,086","5,991","594","11","413,824","413,824","30,225","36,075","57,581","58,675","65,291","76,562","50,797","23,888","12,531","2,145","54","810,662","810,662","57,185","70,380","116,851","115,120","127,575","145,641","109,270","46,072","19,549","2,941","78","401,918","401,918","29,365","36,138","60,316","59,130","64,118","70,543","53,862","21,243","6,528","660","15","408,744","408,744","27,820","34,242","56,535","55,990","63,457","75,098","55,408","24,829","13,021","2,281","63"
"경기도 부천시 심곡2동(4119051000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18,387","18,387","999","1,093","3,342","3,792","3,020","2,996","1,853","939","316","35","2","9,547","9,547","501","554","1,647","2,115","1,715","1,534","909","447","115","10","0","8,840","8,840","498","539","1,695","1,677","1,305","1,462","944","492","201","25","2","18,234","18,234","952","1,050","3,303","3,652","2,996","2,963","1,967","949","363","37","2","9,402","9,402","478","505","1,598","2,057","1,682","1,531","959","453","128","11","0","8,832","8,832","474","545","1,705","1,595","1,314","1,432","1,008","496","235","26","2","18,007","18,007","871","971","3,263","3,447","2,915","2,972","2,079","1,050","392","45","2","9,330","9,330","461","470","1,563","1,964","1,673","1,551","997","500","144","6","1","8,677","8,677","410","501","1,700","1,483","1,242","1,421","1,082","550","248","39","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 부천시 심곡1동(4119052000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13,501","13,501","790","1,056","2,139","2,383","2,168","2,473","1,511","678","266","36","1","6,939","6,939","416","555","1,098","1,364","1,106","1,248","744","325","74","9","0","6,562","6,562","374","501","1,041","1,019","1,062","1,225","767","353","192","27","1","13,134","13,134","756","960","2,054","2,303","2,079","2,374","1,558","732","281","36","1","6,780","6,780","396","503","1,070","1,312","1,079","1,196","752","369","94","9","0","6,354","6,354","360","457","984","991","1,000","1,178","806","363","187","27","1","12,969","12,969","698","916","2,078","2,219","2,025","2,312","1,630","764","294","32","1","6,667","6,667","370","472","1,073","1,262","1,066","1,153","787","374","104","6","0","6,302","6,302","328","444","1,005","957","959","1,159","843","390","190","26","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 부천시 심곡3동(4119053000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13,590","13,590","866","1,303","2,217","2,011","2,290","2,685","1,367","596","231","23","1","6,946","6,946","450","710","1,193","1,099","1,146","1,347","682","242","74","3","0","6,644","6,644","416","593","1,024","912","1,144","1,338","685","354","157","20","1","13,289","13,289","853","1,218","2,117","1,954","2,173","2,623","1,468","638","221","22","2","6,767","6,767","448","636","1,125","1,075","1,111","1,306","725","264","71","6","0","6,522","6,522","405","582","992","879","1,062","1,317","743","374","150","16","2","12,874","12,874","769","1,110","2,008","1,887","2,009","2,567","1,579","659","260","25","1","6,561","6,561","413","580","1,075","1,045","1,037","1,272","771","279","81","8","0","6,313","6,313","356","530","933","842","972","1,295","808","380","179","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 부천시 원미2동(4119054000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13,726","13,726","872","1,192","2,016","1,873","2,196","2,757","1,718","782","294","26","0","6,882","6,882","428","588","1,089","1,006","1,111","1,355","856","354","87","8","0","6,844","6,844","444","604","927","867","1,085","1,402","862","428","207","18","0","13,621","13,621","883","1,109","1,961","1,830","2,115","2,709","1,820","845","316","33","0","6,844","6,844","456","545","1,033","992","1,092","1,340","885","386","105","10","0","6,777","6,777","427","564","928","838","1,023","1,369","935","459","211","23","0","13,253","13,253","860","1,028","1,870","1,738","1,933","2,658","1,924","882","322","38","0","6,632","6,632","444","526","981","928","995","1,309","927","412","102","8","0","6,621","6,621","416","502","889","810","938","1,349","997","470","220","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 부천시 소사동(4119055000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9,144","9,144","531","544","1,228","1,447","1,332","1,721","1,344","695","247","53","2","4,462","4,462","287","261","640","791","681","784","629","308","69","12","0","4,682","4,682","244","283","588","656","651","937","715","387","178","41","2","8,876","8,876","489","475","1,188","1,323","1,252","1,659","1,385","799","252","52","2","4,337","4,337","276","238","621","722","649","771","621","358","70","11","0","4,539","4,539","213","237","567","601","603","888","764","441","182","41","2","8,403","8,403","404","433","1,127","1,155","1,151","1,584","1,412","796","292","46","3","4,096","4,096","224","211","602","628","601","738","628","373","83","8","0","4,307","4,307","180","222","525","527","550","846","784","423","209","38","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 부천시 원미1동(4119056000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17,821","17,821","1,290","1,808","2,665","2,538","3,012","3,391","1,934","830","307","46","0","9,073","9,073","675","962","1,381","1,356","1,569","1,671","969","373","105","12","0","8,748","8,748","615","846","1,284","1,182","1,443","1,720","965","457","202","34","0","17,645","17,645","1,218","1,656","2,657","2,482","2,844","3,406","2,076","927","334","45","0","8,990","8,990","634","890","1,423","1,322","1,468","1,680","1,033","411","116","13","0","8,655","8,655","584","766","1,234","1,160","1,376","1,726","1,043","516","218","32","0","17,113","17,113","1,097","1,559","2,573","2,303","2,664","3,364","2,204","954","357","38","0","8,680","8,680","546","833","1,374","1,246","1,366","1,669","1,081","424","129","12","0","8,433","8,433","551","726","1,199","1,057","1,298","1,695","1,123","530","228","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 부천시 역곡1동(4119057000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19,556","19,556","1,887","1,810","2,523","3,358","3,205","3,160","2,122","1,010","427","52","2","9,644","9,644","946","902","1,273","1,698","1,669","1,499","1,052","452","137","16","0","9,912","9,912","941","908","1,250","1,660","1,536","1,661","1,070","558","290","36","2","19,088","19,088","1,734","1,746","2,426","3,115","3,151","3,105","2,239","1,081","443","46","2","9,469","9,469","883","878","1,241","1,564","1,666","1,477","1,101","498","147","14","0","9,619","9,619","851","868","1,185","1,551","1,485","1,628","1,138","583","296","32","2","18,538","18,538","1,549","1,621","2,364","2,916","3,017","3,012","2,377","1,160","468","53","1","9,118","9,118","777","804","1,209","1,449","1,601","1,421","1,137","551","155","14","0","9,420","9,420","772","817","1,155","1,467","1,416","1,591","1,240","609","313","39","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 부천시 역곡2동(4119058000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20,244","20,244","1,818","1,689","3,069","3,650","3,257","3,231","2,070","975","421","61","3","9,987","9,987","906","886","1,591","1,861","1,675","1,501","981","414","159","12","1","10,257","10,257","912","803","1,478","1,789","1,582","1,730","1,089","561","262","49","2","19,805","19,805","1,686","1,642","2,935","3,430","3,205","3,173","2,176","1,074","417","63","4","9,728","9,728","846","834","1,547","1,718","1,648","1,490","1,008","464","157","16","0","10,077","10,077","840","808","1,388","1,712","1,557","1,683","1,168","610","260","47","4","19,272","19,272","1,512","1,583","2,805","3,102","3,140","3,208","2,257","1,141","453","66","5","9,472","9,472","773","806","1,444","1,563","1,634","1,522","1,035","512","167","15","1","9,800","9,800","739","777","1,361","1,539","1,506","1,686","1,222","629","286","51","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 부천시 춘의동(4119059000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14,756","14,756","1,087","1,216","2,183","2,538","2,188","2,813","1,612","765","314","39","1","7,443","7,443","568","639","1,113","1,397","1,147","1,427","776","300","71","5","0","7,313","7,313","519","577","1,070","1,141","1,041","1,386","836","465","243","34","1","15,225","15,225","1,111","1,212","2,190","2,651","2,249","2,838","1,734","864","336","39","1","7,660","7,660","591","621","1,133","1,435","1,176","1,423","826","364","86","5","0","7,565","7,565","520","591","1,057","1,216","1,073","1,415","908","500","250","34","1","15,132","15,132","1,089","1,135","2,127","2,576","2,191","2,875","1,831","898","365","43","2","7,618","7,618","583","585","1,102","1,394","1,179","1,418","868","384","96","9","0","7,514","7,514","506","550","1,025","1,182","1,012","1,457","963","514","269","34","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
