"행정구역","2015년_거주자_총인구수","2015년_거주자_연령구간인구수","2015년_거주자_0~9세","2015년_거주자_10~19세","2015년_거주자_20~29세","2015년_거주자_30~39세","2015년_거주자_40~49세","2015년_거주자_50~59세","2015년_거주자_60~69세","2015년_거주자_70~79세","2015년_거주자_80~89세","2015년_거주자_90~99세","2015년_거주자_100세 이상","2016년_거주자_총인구수","2016년_거주자_연령구간인구수","2016년_거주자_0~9세","2016년_거주자_10~19세","2016년_거주자_20~29세","2016년_거주자_30~39세","2016년_거주자_40~49세","2016년_거주자_50~59세","2016년_거주자_60~69세","2016년_거주자_70~79세","2016년_거주자_80~89세","2016년_거주자_90~99세","2016년_거주자_100세 이상","2017년_거주자_총인구수","2017년_거주자_연령구간인구수","2017년_거주자_0~9세","2017년_거주자_10~19세","2017년_거주자_20~29세","2017년_거주자_30~39세","2017년_거주자_40~49세","2017년_거주자_50~59세","2017년_거주자_60~69세","2017년_거주자_70~79세","2017년_거주자_80~89세","2017년_거주자_90~99세","2017년_거주자_100세 이상","2018년_거주자_총인구수","2018년_거주자_연령구간인구수","2018년_거주자_0~9세","2018년_거주자_10~19세","2018년_거주자_20~29세","2018년_거주자_30~39세","2018년_거주자_40~49세","2018년_거주자_50~59세","2018년_거주자_60~69세","2018년_거주자_70~79세","2018년_거주자_80~89세","2018년_거주자_90~99세","2018년_거주자_100세 이상","2019년_거주자_총인구수","2019년_거주자_연령구간인구수","2019년_거주자_0~9세","2019년_거주자_10~19세","2019년_거주자_20~29세","2019년_거주자_30~39세","2019년_거주자_40~49세","2019년_거주자_50~59세","2019년_거주자_60~69세","2019년_거주자_70~79세","2019년_거주자_80~89세","2019년_거주자_90~99세","2019년_거주자_100세 이상","2020년_거주자_총인구수","2020년_거주자_연령구간인구수","2020년_거주자_0~9세","2020년_거주자_10~19세","2020년_거주자_20~29세","2020년_거주자_30~39세","2020년_거주자_40~49세","2020년_거주자_50~59세","2020년_거주자_60~69세","2020년_거주자_70~79세","2020년_거주자_80~89세","2020년_거주자_90~99세","2020년_거주자_100세 이상"
"전국  (0000000000)","51,040,849","51,040,849","4,599,258","5,704,159","6,667,078","7,607,365","8,747,437","8,200,502","5,003,764","3,144,264","1,209,253","153,594","4,175","51,185,094","51,185,094","4,563,456","5,468,268","6,724,826","7,470,049","8,685,017","8,295,346","5,298,763","3,203,012","1,307,778","164,058","4,521","51,276,314","51,276,314","4,432,546","5,292,387","6,777,637","7,307,239","8,595,969","8,364,257","5,577,440","3,341,419","1,401,967","180,660","4,793","51,325,445","51,325,445","4,300,447","5,120,039","6,791,113","7,209,846","8,386,956","8,492,125","5,866,540","3,457,623","1,498,245","197,539","4,972","51,349,402","51,349,402","4,164,275","4,948,407","6,778,243","7,013,130","8,284,761","8,545,368","6,224,045","3,553,332","1,613,323","219,037","5,481","51,349,116","51,349,116","3,967,777","4,783,586","6,776,646","6,820,903","8,204,264","8,532,390","6,656,558","3,653,410","1,707,801","239,587","6,194"
"서울특별시  (1100000000)","9,861,997","9,861,997","782,502","981,419","1,437,343","1,649,848","1,668,376","1,550,029","1,011,201","568,852","186,444","25,259","724","9,760,080","9,760,080","760,411","929,744","1,431,793","1,602,133","1,644,174","1,529,687","1,046,740","587,355","200,634","26,655","754","9,688,721","9,688,721","727,555","890,371","1,436,246","1,561,136","1,615,325","1,514,046","1,079,046","619,296","215,879","29,024","797","9,596,993","9,596,993","689,476","851,216","1,439,112","1,531,029","1,559,155","1,508,246","1,111,535","643,670","231,131","31,616","807","9,560,956","9,560,956","661,799","815,909","1,446,159","1,492,995","1,531,036","1,501,903","1,158,332","665,966","251,147","34,816","894","9,505,868","9,505,868","622,966","778,492","1,450,688","1,459,633","1,500,679","1,488,232","1,212,270","685,134","269,007","37,740","1,027"
"부산광역시  (2600000000)","3,475,554","3,475,554","267,087","344,800","454,582","489,325","560,166","609,853","426,642","236,759","77,699","8,444","197","3,459,282","3,459,282","266,944","324,510","453,198","478,934","550,311","600,592","447,566","243,479","84,281","9,247","220","3,432,384","3,432,384","258,586","309,403","449,854","463,141","537,441","590,196","465,628","256,761","90,625","10,504","245","3,403,753","3,403,753","251,309","295,563","442,858","450,404","519,883","584,099","481,130","269,614","97,068","11,582","243","3,376,566","3,376,566","243,202","282,706","434,322","431,676","510,967","574,272","500,090","280,518","105,629","12,897","287","3,356,587","3,356,587","232,242","271,503","429,372","415,619","504,972","560,893","524,457","289,518","113,855","13,843","313"
"대구광역시  (2700000000)","2,468,271","2,468,271","208,048","289,181","325,575","340,094","433,776","414,220","251,185","147,742","52,715","5,605","130","2,464,659","2,464,659","206,959","273,740","328,712","331,290","427,066","416,652","267,454","149,322","57,318","6,000","146","2,456,078","2,456,078","200,965","261,416","331,028","321,667","416,755","419,447","280,069","156,095","61,781","6,694","161","2,442,979","2,442,979","194,867","249,372","329,676","315,685","400,232","426,094","289,778","163,314","66,367","7,446","148","2,419,301","2,419,301","188,220","236,903","322,480","303,781","389,513","423,311","305,660","168,778","72,311","8,172","172","2,401,110","2,401,110","178,159","225,633","320,532","292,407","380,444","421,107","322,886","173,905","76,874","8,977","186"
"인천광역시  (2800000000)","2,897,521","2,897,521","271,542","323,701","399,854","451,787","508,944","486,435","252,703","140,936","53,994","7,416","209","2,913,582","2,913,582","269,309","310,683","404,287","445,947","505,043","494,588","270,704","146,183","58,651","7,971","216","2,919,710","2,919,710","259,737","300,802","407,450","435,638","499,924","499,377","289,747","155,240","62,740","8,813","242","2,926,237","2,926,237","251,124","291,616","407,569","429,642","488,536","506,722","310,955","162,734","67,437","9,648","254","2,928,403","2,928,403","242,230","282,579","405,384","417,257","483,907","509,123","334,883","169,394","72,548","10,827","271","2,915,839","2,915,839","228,490","273,535","399,557","402,587","478,482","505,374","363,404","175,663","76,667","11,778","302"
"광주광역시  (2900000000)","1,463,159","1,463,159","143,665","196,800","198,049","219,582","255,729","215,192","126,216","76,013","28,134","3,672","107","1,459,903","1,459,903","140,906","187,413","200,756","211,964","253,640","220,655","131,630","78,748","30,144","3,918","129","1,454,639","1,454,639","135,820","179,638","202,985","204,119","250,967","223,731","137,424","83,178","32,337","4,323","117","1,450,304","1,450,304","131,232","171,725","205,127","199,123","244,252","229,054","143,974","86,404","34,695","4,586","132","1,447,382","1,447,382","126,483","164,250","206,856","191,678","242,508","231,003","152,009","90,034","37,246","5,177","138","1,441,552","1,441,552","119,667","156,999","208,847","184,796","238,981","231,755","162,392","92,836","39,420","5,707","152"
"대전광역시  (3000000000)","1,507,699","1,507,699","145,002","184,678","209,857","227,012","264,108","235,722","133,026","75,699","28,771","3,715","109","1,503,049","1,503,049","142,025","175,684","211,885","221,201","261,364","236,105","142,252","77,277","31,227","3,908","121","1,491,531","1,491,531","135,175","167,799","213,125","213,714","256,039","236,462","150,651","80,736","33,352","4,354","124","1,479,233","1,479,233","128,441","160,334","213,099","207,470","247,136","240,140","157,700","84,219","35,781","4,794","119","1,464,306","1,464,306","121,777","152,973","211,791","198,994","240,115","241,089","166,744","86,943","38,565","5,194","121","1,454,011","1,454,011","114,487","146,249","211,722","192,777","235,059","239,409","177,620","90,692","40,220","5,639","137"
"울산광역시  (3100000000)","1,166,800","1,166,800","116,218","139,826","158,203","179,684","210,246","199,602","99,617","45,528","15,853","1,977","46","1,165,829","1,165,829","115,897","132,595","158,320","176,100","205,248","203,349","108,082","47,046","17,049","2,102","41","1,158,865","1,158,865","112,413","126,790","156,575","170,072","200,161","205,996","116,083","50,129","18,279","2,316","51","1,149,498","1,149,498","108,334","121,447","152,983","165,253","192,956","208,914","124,017","53,536","19,497","2,512","49","1,141,912","1,141,912","104,342","116,650","148,765","158,801","189,321","209,845","133,711","56,578","21,048","2,806","45","1,130,315","1,130,315","98,478","112,344","144,243","150,908","186,471","208,144","144,404","59,779","22,526","2,963","55"
"세종특별자치시  (3600000000)","209,946","209,946","29,821","23,385","22,994","39,905","37,135","25,647","15,473","10,283","4,683","608","12","242,038","242,038","34,902","27,108","26,475","45,822","43,948","29,196","18,009","10,710","5,182","661","25","279,046","279,046","40,166","32,047","30,217","52,262","51,875","33,408","20,943","11,626","5,731","745","26","313,055","313,055","44,446","36,685","33,976","58,240","57,999","38,108","24,103","12,441","6,167","859","31","339,434","339,434","47,240","40,030","36,289","61,296","64,203","42,203","27,044","13,348","6,720","1,033","28","354,705","354,705","47,273","42,669","37,405","61,342","68,573","44,939","29,958","14,298","7,056","1,167","25"
"경기도  (4100000000)","12,416,183","12,416,183","1,250,484","1,475,871","1,636,845","1,955,097","2,277,322","1,933,714","1,014,789","610,768","230,023","30,478","792","12,602,784","12,602,784","1,250,267","1,435,656","1,678,660","1,941,281","2,286,371","1,995,617","1,095,016","633,804","252,139","33,088","885","12,759,911","12,759,911","1,225,685","1,406,914","1,712,853","1,920,795","2,288,550","2,047,586","1,176,064","670,579","273,452","36,464","969","12,962,945","12,962,945","1,209,048","1,381,418","1,740,431","1,935,410","2,266,960","2,116,195","1,272,503","703,185","296,357","40,410","1,028","13,124,519","13,124,519","1,184,155","1,352,100","1,762,285","1,911,964","2,266,430","2,169,231","1,380,700","729,483","321,691","45,311","1,169","13,315,895","13,315,895","1,145,261","1,325,081","1,799,968","1,894,686","2,277,283","2,207,383","1,513,054","757,634","344,239","49,932","1,374"
"강원도  (4200000000)","1,535,681","1,535,681","123,234","170,807","184,039","187,938","247,567","265,743","169,357","130,659","48,977","7,155","205","1,536,869","1,536,869","121,337","163,153","184,132","183,671","243,597","268,223","180,062","131,638","53,181","7,647","228","1,536,509","1,536,509","116,682","156,716","185,183","178,543","239,537","267,436","192,122","134,469","57,263","8,300","258","1,529,517","1,529,517","112,624","149,844","182,184","174,019","231,438","268,338","204,719","135,344","61,700","9,056","251","1,527,794","1,527,794","109,518","143,572","180,405","169,170","225,743","267,317","220,502","134,744","66,671","9,856","296","1,529,586","1,529,586","105,556","137,316","179,344","164,967","222,084","264,770","238,931","134,173","71,318","10,806","321"
"충청북도  (4300000000)","1,573,466","1,573,466","142,288","179,382","195,754","214,686","259,567","257,598","156,989","113,940","47,386","5,707","169","1,580,832","1,580,832","141,510","171,565","197,375","211,032","257,069","262,131","168,884","113,424","51,564","6,097","181","1,584,055","1,584,055","137,178","165,625","198,916","206,257","253,230","264,409","180,877","115,654","54,996","6,738","175","1,588,974","1,588,974","133,624","159,531","200,196","204,143","246,393","268,865","192,614","117,725","58,356","7,329","198","1,589,735","1,589,735","129,245","154,204","199,462","198,719","241,407","271,829","205,795","118,156","62,498","8,219","201","1,591,009","1,591,009","123,338","149,244","198,553","193,403","239,161","271,392","221,783","119,783","65,170","8,966","216"
"충청남도  (4400000000)","2,063,226","2,063,226","197,171","228,899","243,337","294,854","329,713","315,302","210,793","159,585","74,312","9,022","238","2,082,200","2,082,200","197,141","222,059","245,489","292,527","332,418","320,513","223,707","157,861","80,608","9,623","254","2,102,508","2,102,508","193,815","218,193","247,550","290,406","333,345","326,669","235,063","160,828","85,829","10,532","278","2,111,939","2,111,939","188,956","213,308","247,543","287,058","328,588","334,530","245,882","163,218","91,000","11,570","286","2,109,229","2,109,229","181,846","207,955","244,814","277,443","325,365","337,937","258,830","165,480","96,458","12,765","336","2,106,946","2,106,946","172,579","202,319","242,342","266,951","324,954","336,816","276,986","170,241","99,395","13,999","364"
"전라북도  (4500000000)","1,857,248","1,857,248","159,784","217,540","217,834","230,740","296,629","292,573","209,249","154,250","70,044","8,369","236","1,852,295","1,852,295","157,325","207,358","218,506","223,961","292,809","296,198","216,923","155,106","74,910","8,931","268","1,842,626","1,842,626","150,773","199,735","219,137","214,378","288,685","297,307","223,126","160,132","78,957","10,118","278","1,824,898","1,824,898","143,955","190,604","216,736","206,372","278,658","301,697","230,482","161,926","83,073","11,089","306","1,807,103","1,807,103","137,047","182,289","213,075","196,553","272,027","300,830","240,933","163,892","87,967","12,161","329","1,792,694","1,792,694","128,662","174,803","210,750","187,639","266,063","296,926","253,858","169,286","91,041","13,311","355"
"전라남도  (4600000000)","1,895,664","1,895,664","158,115","209,677","205,697","222,923","288,602","305,644","222,265","190,035","81,815","10,566","325","1,890,630","1,890,630","156,695","199,646","205,645","217,683","283,242","311,159","229,135","189,109","86,981","11,018","317","1,883,796","1,883,796","151,181","191,412","206,668","210,587","278,565","313,347","235,196","191,925","92,773","11,827","315","1,870,368","1,870,368","145,203","183,291","206,101","203,285","268,835","316,753","244,063","191,437","98,440","12,622","338","1,856,190","1,856,190","139,378","175,076","204,211","193,906","263,499","314,893","255,194","191,340","104,164","14,179","350","1,839,432","1,839,432","132,157","167,138","200,053","184,706","257,400","310,707","270,229","191,723","109,162","15,754","403"
"경상북도  (4700000000)","2,684,852","2,684,852","223,331","277,031","310,180","344,857","424,385","452,123","312,437","228,675","99,312","12,198","323","2,682,103","2,682,103","222,211","264,383","307,109","336,951","417,855","455,310","333,642","224,587","106,768","12,931","356","2,674,121","2,674,121","215,401","254,136","304,259","326,598","410,431","456,947","349,553","228,894","113,186","14,343","373","2,659,325","2,659,325","207,551","244,857","299,024","317,076","395,937","463,178","362,578","233,784","119,425","15,525","390","2,648,506","2,648,506","200,110","235,504","293,523","304,509","387,926","460,970","383,612","236,675","128,491","16,763","423","2,623,028","2,623,028","189,500","225,714","283,266","289,110","380,179","455,782","406,330","240,047","134,329","18,313","458"
